id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1300834,前臀尖,1189,肉禽蛋,1205,猪肉类,11.5,12.5,12.0,,肥,斤,2022-07-03 00:00:00,,138,,admin,,,
1300833,后臀尖,1189,肉禽蛋,1205,猪肉类,12.5,13.5,13.0,,瘦,斤,2022-07-03 00:00:00,,138,,admin,,,
1300832,后臀尖,1189,肉禽蛋,1205,猪肉类,11.5,12.5,12.0,,肥,斤,2022-07-03 00:00:00,,138,,admin,,,
1300831,五花肉,1189,肉禽蛋,1205,猪肉类,15.5,16.5,16.0,,瘦,斤,2022-07-03 00:00:00,,138,,admin,,,
1300830,五花肉,1189,肉禽蛋,1205,猪肉类,14.5,15.5,15.0,,肥,斤,2022-07-03 00:00:00,,138,,admin,,,
1300829,五花头,1189,肉禽蛋,1205,猪肉类,12.0,13.5,12.75,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300828,纯通脊,1189,肉禽蛋,1205,猪肉类,16.0,17.0,16.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300827,通脊,1189,肉禽蛋,1205,猪肉类,12.5,14.0,13.25,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300826,小里脊,1189,肉禽蛋,1205,猪肉类,16.0,17.0,16.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300825,梅花肉,1189,肉禽蛋,1205,猪肉类,14.5,15.5,15.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300824,纯瘦肉,1189,肉禽蛋,1205,猪肉类,13.0,14.0,13.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300823,护心肉,1189,肉禽蛋,1205,猪肉类,15.0,16.0,15.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
